plant	Synset('plant.n.01')	https://en.wikipedia.org/wiki/Factory
plant	Synset('plant.n.02')	https://en.wikipedia.org/wiki/Crop
plant	Synset('plant.n.03')	https://en.wikipedia.org/wiki/Plant
plant	Synset('plant.n.04')	https://en.wikipedia.org/wiki/Plant
taste	Synset('taste.n.01')	https://en.wikipedia.org/wiki/Perception
taste	Synset('preference.n.01')	https://en.wikipedia.org/wiki/Weakness
taste	Synset('taste.n.03')	https://en.wikipedia.org/wiki/Discrimination
taste	Synset('taste.n.04')	https://en.wikipedia.org/wiki/Happening
taste	Synset('taste.n.05')	https://en.wikipedia.org/wiki/The_Chew
taste	Synset('taste.n.06')	https://en.wikipedia.org/wiki/Taste
taste	Synset('taste.n.07')	https://en.wikipedia.org/wiki/Taste
star	Synset('star.n.01')	https://en.wikipedia.org/wiki/Nova
star	Synset('ace.n.03')	https://en.wikipedia.org/wiki/Superstar
star	Synset('star.n.03')	https://en.wikipedia.org/wiki/Star
star	Synset('star.n.04')	https://en.wikipedia.org/wiki/Actor
star	Synset('star.n.05')	https://en.wikipedia.org/wiki/Star
star	Synset('headliner.n.01')	https://en.wikipedia.org/wiki/Star
star	Synset('asterisk.n.01')	https://en.wikipedia.org/wiki/Star
bow	Synset('bow.n.01')	https://en.wikipedia.org/wiki/Knot
bow	Synset('bow.n.02')	can not match to wiki
bow	Synset('bow.n.03')	can not match to wiki
bow	Synset('bow.n.04')	https://en.wikipedia.org/wiki/Weapon
bow	Synset('bow.n.05')	https://en.wikipedia.org/wiki/Curve
bow	Synset('bow.n.06')	can not match to wiki
bow	Synset('bow.n.07')	can not match to wiki
bow	Synset('bow.n.08')	can not match to wiki
bow	Synset('bow.n.09')	https://en.wikipedia.org/wiki/Stroke
galley	Synset('galley.n.01')	https://en.wikipedia.org/wiki/Stroke
galley	Synset('galley.n.02')	https://en.wikipedia.org/wiki/Stroke
galley	Synset('galley.n.03')	https://en.wikipedia.org/wiki/Stroke
galley	Synset('galley.n.04')	https://en.wikipedia.org/wiki/Stroke
sentence	Synset('sentence.n.01')	https://en.wikipedia.org/wiki/Question
sentence	Synset('conviction.n.02')	https://en.wikipedia.org/wiki/Judgement
sentence	Synset('prison_term.n.01')	https://en.wikipedia.org/wiki/Time
interest	Synset('interest.n.01')	https://en.wikipedia.org/wiki/Curiosity
interest	Synset('sake.n.01')	https://en.wikipedia.org/wiki/Behalf
interest	Synset('interest.n.03')	https://en.wikipedia.org/wiki/Interest
interest	Synset('interest.n.04')	https://en.wikipedia.org/wiki/Interest
interest	Synset('interest.n.05')	https://en.wikipedia.org/wiki/Fee
interest	Synset('interest.n.06')	https://en.wikipedia.org/wiki/Interest
interest	Synset('pastime.n.01')	https://en.wikipedia.org/wiki/Interest
issue	Synset('issue.n.01')	can not match to wiki
issue	Synset('issue.n.02')	https://en.wikipedia.org/wiki/Publication
issue	Synset('topic.n.02')	https://en.wikipedia.org/wiki/Territory
issue	Synset('issue.n.04')	can not match to wiki
issue	Synset('issue.n.05')	can not match to wiki
issue	Synset('return.n.06')	https://en.wikipedia.org/wiki/Income
issue	Synset('consequence.n.01')	https://en.wikipedia.org/wiki/Harvest
issue	Synset('offspring.n.01')	https://en.wikipedia.org/wiki/Person
issue	Synset('exit.n.01')	https://en.wikipedia.org/wiki/No_Exit
issue	Synset('issue.n.11')	https://en.wikipedia.org/wiki/Printing
duty	Synset('duty.n.01')	https://en.wikipedia.org/wiki/Obligation
duty	Synset('duty.n.02')	https://en.wikipedia.org/wiki/Duty
duty	Synset('duty.n.03')	https://en.wikipedia.org/wiki/Customs
